year,month,day,tempavg,DPavg,humidity avg,SLPavg,visibilityavg,windavg,Rainfall
2011,2,13,21,13,60,1009,3,5,0
2011,2,14,21,18,75,1009,3,5,0
2011,2,15,22,18,75,1010,3,10,0
2011,2,16,23,21,86,1011,3,8,0
2011,2,17,23,19,75,1011,3,8,0
2011,2,18,23,19,75,1011,5,8,0
2011,2,19,24,16,57,1012,4,5,0
2011,2,20,24,14,55,1013,4,2,0
2011,2,21,23,16,60,1012,4,5,0
2011,2,22,24,14,52,1012,5,18,0
2011,2,23,24,15,54,1012,5,6,0
2011,2,24,24,15,54,1010,4,6,0
2011,2,25,24,16,59,1009,4,5,0
2011,2,26,24,16,56,1009,3,8,0
2011,2,28,26,9,37,1010,4,21,0
2011,3,1,25,13,50,1009,5,6,0
2011,3,2,24,12,41,1009,4,6,0
2011,3,3,24,14,48,1009,3,6,0
2011,3,4,26,14,49,1009,3,3,0
2011,3,5,27,16,54,1009,4,5,0
2011,3,6,26,19,66,1010,4,5,0
2011,3,7,26,13,43,1010,4,6,0
2011,3,8,24,17,62,1008,4,3,0
2011,3,9,26,15,50,1010,3,5,0
2011,3,10,27,14,48,1010,4,3,0
2011,3,11,26,19,67,1010,4,6,0
2011,3,12,26,18,57,1010,5,6,0
2011,3,13,26,18,60,1010,4,6,0
2011,3,14,26,21,68,1009,4,6,0
2011,3,15,26,18,61,1008,3,6,0
2011,3,16,26,20,73,1007,4,11,0
2011,3,17,22,18,70,1010,5,11,0
2011,3,19,24,21,78,1007,5,16,0
2011,3,20,24,21,75,1007,4,18,0
2011,3,21,26,21,73,1008,5,18,0
2011,3,22,27,22,74,1009,4,11,0
2011,3,23,26,22,74,1009,5,5,0
2011,3,24,26,22,75,1009,4,8,0
2011,3,25,27,23,77,1009,5,10,0
2011,3,26,27,22,72,1009,5,6,0
2011,3,27,26,21,73,1009,4,5,0
2011,3,28,27,21,69,1009,4,8,0
2011,3,29,26,21,79,1010,4,10,0
2011,3,30,24,20,79,1010,5,13,0
2011,3,31,24,21,77,1009,5,14,0
2011,4,1,25,22,77,1009,6,11,0
2011,4,2,27,23,76,1009,5,6,0
2011,4,3,26,23,84,1009,4,2,0
2011,4,4,27,24,83,1009,4,3,0
2011,4,5,27,20,62,1009,5,14,0
2011,4,6,27,20,60,1010,5,10,0
2011,4,7,26,19,62,1010,4,6,0
2011,4,8,26,23,75,1010,4,5,0
2011,4,9,27,23,78,1011,4,5,0
2011,4,10,28,24,77,1012,4,3,0
2011,4,11,28,24,79,1010,3,5,0
2011,4,12,28,24,78,1009,2,5,0
2011,4,13,28,24,80,1009,3,5,0
2011,4,14,28,24,75,1007,4,6,0
2011,4,15,28,24,77,1008,4,6,0
2011,4,16,28,25,78,1008,4,6,0
2011,4,17,28,24,77,1008,4,6,0
2011,4,18,28,24,77,1006,5,3,0
2011,4,19,30,25,76,1006,5,6,0
2011,4,20,28,24,79,1007,5,6,0
2011,4,21,29,24,75,1008,5,6,0
2011,4,22,29,24,75,1008,4,6,0
2011,4,23,29,21,63,1006,5,3,0
2011,4,24,26,23,83,1008,4,11,0
2011,4,25,28,22,69,1008,6,5,0
2011,4,26,28,22,73,1008,4,5,0
2011,4,27,27,23,78,1006,4,6,0
2011,4,28,28,22,71,1004,5,11,0
2011,4,29,26,22,76,1005,5,8,0
2011,4,30,29,24,75,1007,5,6,0
2011,5,1,28,24,75,1006,5,8,0
2011,5,2,28,24,76,1005,6,10,0
2011,5,3,28,24,79,1005,6,11,0
2011,5,4,28,23,74,1005,5,8,0
2011,5,5,27,23,72,1005,6,6,0
2011,5,6,27,24,78,1005,5,6,0
2011,5,7,28,24,78,1004,5,10,0
2011,5,8,28,24,79,1003,5,5,0
2011,5,9,29,24,72,1002,5,6,0
2011,5,10,30,26,79,1002,5,11,0
2011,5,11,27,23,78,1004,5,16,0
2011,5,12,27,23,72,1004,5,6,0
2011,5,13,29,26,79,1004,6,8,0
2011,5,14,27,24,75,1005,5,10,0
2011,5,15,30,26,73,1007,6,11,0
2011,5,16,31,27,77,1009,6,8,0
2011,5,17,30,26,77,1008,5,6,0
2011,5,18,28,24,81,1006,5,5,0
2011,5,19,27,24,83,1004,5,18,0
2011,5,20,29,25,75,1002,6,14,0
2011,5,21,28,26,82,1002,5,19,0
2011,5,22,27,23,83,1004,4,10,0
2011,5,23,28,25,78,1004,5,13,0
2011,5,24,29,27,83,1004,5,11,0
2011,5,25,28,25,81,1004,5,10,0
2011,5,26,28,25,81,1004,5,5,0
2011,5,27,29,25,79,1003,5,5,0
2011,5,28,29,26,84,1002,5,3,0
2011,5,29,28,24,78,1002,5,6,0
2011,5,30,26,24,89,1002,5,16,0
2011,5,31,28,24,86,1002,4,13,0
2011,6,1,28,24,79,1003,5,13,0
2011,6,2,29,25,78,1005,6,11,0
2011,6,3,29,26,76,1004,6,6,0
2011,6,4,29,26,79,1003,6,8,0
2011,6,5,29,26,83,1004,6,8,0
2011,6,7,29,24,79,1003,6,10,0
2011,6,8,27,24,85,1000,5,8,0
2011,6,9,26,25,91,998,4,5,0
2011,6,10,28,26,86,999,5,8,0
2011,6,11,29,25,81,1000,5,11,0
2011,6,12,29,26,78,1000,6,11,0
2011,6,13,30,26,80,999,6,6,0
2011,6,14,28,26,82,998,5,6,0
2011,6,15,30,24,74,995,5,16,0
2011,6,16,27,24,88,994,4,24,0
2011,6,17,26,23,86,995,4,23,0
2011,6,18,26,25,93,997,3,16,0
2011,6,19,28,26,81,998,5,13,0
2011,6,20,29,25,82,1000,6,11,0
2011,6,21,28,24,80,1000,5,10,0
2011,6,22,28,25,83,1000,5,11,0
2011,6,23,28,26,81,999,6,8,0
2011,6,24,28,26,89,998,4,6,0
2011,6,25,27,25,88,996,4,5,0
2011,6,26,26,25,94,998,4,11,0
2011,6,27,27,25,87,999,5,13,0
2011,6,28,27,26,93,1000,4,11,0
2011,6,29,27,26,91,1002,4,10,0
2011,6,30,27,26,92,1002,3,5,0
2011,7,1,26,25,95,1001,4,8,0
2011,7,2,26,25,93,1001,3,6,0
2011,7,3,27,24,86,1002,5,6,0
2011,7,4,27,24,81,1004,5,10,0
2011,7,5,28,24,79,1005,5,10,0
2011,7,6,28,23,77,1005,6,13,0
2011,7,7,28,25,80,1006,6,13,0
2011,7,8,29,26,81,1007,6,10,0
2011,7,9,29,26,81,1005,6,10,0
2011,7,10,29,26,82,1001,6,8,0
2011,7,11,29,26,80,999,5,11,0
2011,7,12,29,25,78,999,5,8,0
2011,7,13,29,26,77,1000,5,10,0
2011,7,14,29,26,82,1000,6,13,0
2011,12,10,23,17,71,1011,3,5,0
2011,12,11,23,16,65,1012,3,5,0
2011,12,12,24,14,55,1013,5,6,0
2011,12,13,22,13,53,1013,3,2,0
2011,12,14,21,14,60,1014,2,3,0
2011,12,15,19,13,70,1013,3,5,0
2011,12,16,19,14,74,1014,1,5,0
2011,12,17,19,15,78,1013,1,3,0
2011,12,18,18,14,82,1015,1,8,0
2011,12,19,17,14,88,1014,1,3,0
2011,12,20,17,15,87,1012,1,5,0
2011,12,21,17,14,82,1013,1,8,0
2011,12,22,17,13,88,1013,2,8,0
2011,12,23,14,13,90,1011,1,3,0
2011,12,24,17,14,86,1011,2,3,0
2011,12,25,18,15,79,1011,1,6,0
2011,12,26,22,17,72,1012,3,3,0
2011,12,27,22,17,70,1012,4,3,0
2011,12,28,23,19,82,1014,3,3,0
2011,12,29,23,20,80,1014,2,3,0
2011,12,30,26,15,56,1014,5,5,0
2011,12,31,22,13,51,1014,5,6,0
2012,1,1,23,14,57,1012,5,5,0
2012,1,2,22,15,65,1013,3,2,0
2012,1,3,22,17,71,1012,4,6,0
2012,1,4,23,17,66,1013,3,3,0
2012,1,5,23,17,71,1014,3,3,0
2012,1,6,22,17,75,1015,3,2,0
2012,1,7,22,17,73,1016,2,2,0
2012,1,8,22,18,79,1016,3,3,0
2012,1,9,22,18,75,1014,3,8,0
2012,1,10,22,16,68,1014,4,6,0
2012,1,11,21,17,74,1014,3,8,0
2012,1,12,20,16,72,1013,2,14,0
2012,1,13,18,11,63,1014,3,10,0
2012,1,14,18,10,58,1012,3,8,0
2012,1,15,19,12,63,1011,3,8,0
2012,1,16,18,10,57,1009,3,8,0
2012,1,17,19,12,66,1009,3,3,0
2012,1,18,20,16,74,1010,3,2,0
2012,1,19,20,16,75,1010,3,5,0
2012,1,20,20,18,87,1011,2,5,0
2012,1,21,21,18,82,1011,2,5,0
2012,1,22,20,11,53,1013,3,13,0
2012,1,23,19,12,60,1013,3,10,0
2012,1,24,20,12,61,1012,3,8,0
2012,1,25,18,11,61,1013,3,5,0
2012,1,26,20,12,61,1012,3,3,0
2012,1,27,13,12,91,1013,2,3,0
2012,1,28,21,8,45,1012,4,6,0
2012,1,30,24,11,43,1012,4,18,0
2012,1,31,21,11,53,1014,4,5,0
2012,2,1,21,9,46,1014,3,6,0
2012,2,2,21,7,42,1015,4,6,0
2012,2,3,22,11,51,1012,4,10,0
2012,2,4,21,12,56,1012,3,3,0
2012,2,5,21,13,60,1012,3,3,0
2012,2,6,22,11,51,1012,3,3,0
2012,2,7,22,14,57,1011,3,5,0
2012,2,8,24,15,56,1010,3,5,0
2012,2,9,23,16,65,1010,4,3,0
2012,2,10,22,15,62,1011,3,13,0
2012,2,11,22,9,44,1012,5,11,0
2012,2,12,20,8,40,1013,4,8,0
2012,2,13,23,8,37,1013,4,10,0
2012,2,14,23,9,43,1012,4,3,0
2012,2,15,24,14,55,1010,4,3,0
2012,2,16,26,17,57,1010,3,11,0
2012,2,17,26,16,53,1010,4,5,0
2012,2,18,24,15,53,1011,4,11,0
2012,2,19,25,12,45,1010,4,10,0
2012,2,20,23,12,49,1010,4,5,0
2012,2,21,23,14,56,1009,3,3,0
2012,2,22,22,19,75,1008,4,3,0
2012,2,23,23,20,77,1008,4,5,0
2012,2,24,24,19,72,1008,3,5,0
2012,2,25,26,17,64,1007,4,3,0
2012,2,26,26,18,65,1006,4,3,0
2012,2,27,25,20,72,1007,3,3,0
2012,2,28,25,16,61,1005,4,6,0
2012,2,29,23,21,81,1006,4,13,0
2012,3,1,26,23,82,1007,5,11,0
2012,3,2,26,22,84,1006,4,6,0
2012,3,3,23,21,87,1005,4,10,0
2012,3,4,23,21,82,1008,5,5,0
2012,3,5,24,22,81,1007,4,6,0
2012,3,6,26,22,82,1006,5,13,0
2012,3,7,26,23,83,1004,5,13,0
2012,3,8,26,23,79,1005,5,11,0
2012,3,9,27,22,77,1006,5,6,0
2012,3,10,27,22,76,1008,4,5,0
2012,3,11,28,17,53,1009,4,8,0
2012,3,12,28,13,41,1011,5,3,0
2012,3,13,27,15,50,1011,4,2,0
2012,3,14,28,18,58,1010,4,3,0
2012,3,15,26,19,61,1014,3,6,0
2012,3,16,25,17,59,1010,5,6,0
2012,3,17,27,17,56,1009,4,5,0
2012,3,18,26,19,67,1010,5,5,0
2012,3,19,27,22,73,1009,4,5,0
2012,3,20,27,23,78,1009,5,10,0
2012,3,21,27,23,79,1008,5,6,0
2012,3,22,28,24,78,1008,5,10,0
2012,3,23,27,23,79,1010,4,8,0
2012,3,24,27,23,76,1009,5,5,0
2012,3,25,27,23,81,1010,4,5,0
2012,3,26,26,23,83,1011,5,3,0
2012,3,27,27,24,81,1011,4,6,0
2012,3,28,27,23,78,1012,5,6,0
2012,3,29,27,24,80,1010,5,10,0
2012,3,30,27,23,78,1009,5,8,0
2012,3,31,27,23,73,1010,5,5,0
2012,4,1,30,21,58,1009,4,10,0
2012,4,2,28,22,71,1010,4,6,0
2012,4,3,28,24,77,1011,4,5,0
2012,4,4,28,25,78,1010,4,5,0
2012,4,5,28,24,79,1009,4,13,0
2012,4,6,26,22,77,1009,4,8,0
2012,4,7,25,21,81,1009,4,13,0
2012,4,8,25,22,79,1008,5,13,0
2012,4,9,24,18,73,1009,5,16,5.08
2012,4,10,26,21,79,1009,4,10,23.88
2012,4,11,26,20,66,1009,5,8,0
2012,4,12,26,22,79,1007,5,8,0
2012,4,13,23,21,78,1008,5,6,11.94
2012,4,14,27,22,69,1009,5,3,0
2012,4,15,28,24,79,1008,5,5,0
2012,4,16,28,24,83,1006,4,3,0
2012,4,17,28,25,79,1005,5,5,0
2012,4,18,28,24,77,1005,5,6,0
2012,4,19,28,26,80,1006,5,10,0
2012,4,20,28,24,80,1007,5,6,0
2012,4,21,26,24,82,1006,5,8,6.1
2012,4,22,29,25,79,1004,5,11,0
2012,4,23,28,25,78,1005,5,13,1.02
2012,4,24,29,26,76,1006,6,14,0
2012,4,25,30,26,80,1007,6,14,0
2012,4,26,28,24,75,1007,6,13,0
2012,4,27,29,26,80,1005,5,13,0
2012,4,28,28,25,83,1004,5,18,0
2012,4,29,27,22,81,1005,4,14,17.02
2012,4,30,27,24,86,1004,5,13,0
2012,5,1,25,22,90,1005,4,19,48.01
2012,5,2,27,23,77,1006,5,14,5.08
2012,5,3,29,24,72,1005,6,6,3.05
2012,5,4,27,22,74,1005,6,14,0
2012,5,5,28,22,68,1004,5,5,0
2012,5,6,29,23,65,1003,4,6,0
2012,5,7,29,24,72,1003,3,5,0
2012,5,8,29,26,80,1005,5,5,0
2012,5,9,29,26,79,1007,5,11,0
2012,5,10,29,24,74,1008,5,8,0
2012,5,11,29,25,73,1006,5,6,0
2012,5,12,29,26,76,1004,5,6,0
2012,5,13,28,24,81,1004,5,8,21.08
2012,5,14,29,27,83,1004,5,14,0
2012,5,15,30,26,75,1005,5,11,0
2012,5,16,26,24,87,1004,5,16,33.02
2012,5,17,29,26,81,1002,5,6,2.03
2012,5,18,29,26,78,1003,5,10,0
2012,5,19,30,26,81,1004,5,10,0
2012,5,20,30,24,71,1004,5,6,0
2012,5,21,30,26,79,1003,5,6,0
2012,5,22,29,27,81,1003,5,10,0
2012,5,23,30,27,76,1002,5,13,0
2012,5,24,30,27,80,1001,5,14,0.25
2012,5,25,30,27,80,1001,6,13,0
2012,5,26,30,27,78,1001,5,8,0
2012,5,27,31,27,78,1001,5,8,0
2012,5,28,29,26,80,1001,5,11,7.11
2012,5,29,29,26,79,1002,5,10,2.03
2012,5,30,30,26,81,1000,5,8,0
2012,5,31,29,26,78,999,5,6,58.93
2012,6,1,27,26,92,1000,4,6,30.99
2012,6,2,28,26,83,999,5,11,0
2012,6,3,28,26,80,998,5,18,1.02
2012,6,4,31,28,84,999,5,14,0
2012,6,5,27,24,85,1000,5,18,4.06
2012,6,6,27,25,83,1000,5,11,58.93
2012,6,7,30,26,80,999,6,5,0
2012,6,8,30,27,81,999,6,6,0
2012,6,9,31,27,82,999,5,6,0
2012,6,10,30,27,81,998,5,11,0
2012,6,11,29,27,81,999,5,10,0
2012,6,12,30,26,77,1001,6,13,0
2012,6,13,29,27,84,1002,6,14,0
2012,6,14,29,26,87,1002,5,11,23.11
2012,6,15,27,26,90,1001,4,16,17.02
2012,6,16,24,23,96,999,3,11,49.02
2012,6,17,27,25,83,998,6,3,1.02
2012,6,18,30,26,81,998,6,10,0
2012,6,19,30,26,83,995,5,8,3.05
2012,6,20,29,26,80,994,6,18,5.08
2012,6,21,29,26,83,997,5,16,4.06
2012,6,22,28,26,87,1001,4,16,11.94
2012,6,23,28,26,91,1000,4,16,80.01
2012,6,24,26,26,95,999,3,18,9.91
2012,6,25,27,24,85,1001,4,10,0
2012,6,26,24,24,98,1000,2,19,0
2012,6,27,28,24,85,1001,6,10,0
2012,6,28,28,26,84,999,5,6,0
2012,6,29,29,26,84,998,5,8,0
2012,6,30,29,26,84,997,5,8,0
2012,7,1,29,25,76,996,6,8,0
2012,7,2,28,25,81,999,6,13,0
2012,7,3,29,26,87,999,5,18,25.91
2012,7,4,29,26,86,999,6,18,1.02
2012,7,5,28,26,83,1000,6,13,2.03
2012,7,6,29,26,83,1000,6,13,0
2012,7,7,29,26,82,998,6,13,2.03
2012,7,8,28,25,82,999,5,14,0.51
2012,7,9,28,26,81,1001,6,18,0
2012,7,10,28,25,85,1004,5,14,5.08
2012,7,11,28,25,85,1004,5,11,5.08
2012,7,12,27,26,89,1003,4,8,7.87
2012,7,13,28,26,92,1002,4,10,0
2012,7,14,28,26,90,1001,4,10,2.03
2012,7,15,28,26,90,1003,5,13,0
2012,7,16,27,25,88,1004,5,14,8.89
2012,7,17,27,25,93,1003,3,21,3.05
2012,7,18,27,25,89,1000,4,11,3.05
2012,7,19,28,26,89,998,5,6,2.03
2012,7,20,29,25,80,999,6,8,1.02
2012,7,21,28,25,81,1002,5,18,1.02
2012,7,22,28,26,85,1002,5,16,0
2012,7,23,28,26,91,999,5,14,71.88
2012,7,24,27,26,92,999,4,13,8.89
2012,7,25,28,25,81,999,6,11,3.05
2012,7,26,28,26,88,999,5,14,2.03
2012,7,27,27,25,91,999,4,18,7.11
2012,7,28,27,23,87,1000,4,13,30.99
2012,7,29,27,25,93,1000,4,11,13.97
2012,7,30,27,25,91,1000,5,16,4.06
2012,7,31,27,25,91,999,5,14,2.03
2012,8,1,27,25,87,999,5,14,9.91
2012,8,2,28,26,86,998,5,11,0
2012,8,3,30,26,83,997,5,8,5.08
2012,8,4,29,26,81,998,6,16,2.03
2012,8,5,28,25,84,1000,6,14,0
2012,8,6,28,24,83,1002,5,16,0
2012,8,7,28,26,89,1002,5,11,0.25
2012,8,8,28,26,88,1001,5,6,0
2012,8,9,28,26,83,999,6,11,0
2012,8,10,28,25,81,1000,5,10,0
2012,8,11,28,25,85,1003,5,13,2.03
2012,8,12,26,24,92,1003,3,11,3.05
2012,8,13,27,25,91,1002,5,6,13.97
2012,8,14,28,26,89,1002,5,10,1.02
2012,8,15,28,26,86,1002,5,8,1.02
2012,8,16,29,26,82,1000,5,8,0
2012,8,17,29,26,82,1000,5,11,0
2012,8,18,29,26,81,1000,6,11,0
2012,8,19,29,26,86,1003,5,13,0
2012,8,20,28,26,91,1004,5,11,2.03
2012,8,21,28,26,85,1005,5,13,1.02
2012,8,22,29,26,82,1006,5,11,0
2012,8,23,29,26,83,1004,5,8,4.06
2012,8,24,29,26,82,1002,5,6,0
2012,8,25,29,27,85,1003,5,6,0
2012,8,26,29,26,83,1003,5,10,3.05
2012,8,27,29,26,83,1003,5,11,0.76
2012,8,28,29,26,85,1003,5,6,5.08
2012,8,29,29,26,85,1004,5,2,0.25
2012,8,30,29,26,81,1005,6,10,0
2012,8,31,28,26,80,1004,5,11,0
2012,9,1,29,26,83,1002,6,8,0
2012,9,2,29,26,82,1002,6,8,50.04
2012,9,3,28,26,84,1003,6,10,2.03
2012,9,4,27,24,87,1005,5,11,4.06
2012,9,5,28,25,84,1007,6,8,1.02
2012,9,6,28,26,86,1007,5,5,0
2012,9,7,29,27,83,1004,5,8,0
2012,9,8,28,27,87,1003,5,5,4.06
2012,9,9,28,26,84,1005,5,6,0.51
2012,9,10,29,25,80,1005,6,11,0.51
2012,9,11,27,26,90,1005,5,14,0.51
2012,9,12,28,26,91,1005,5,14,7.11
2012,9,13,27,26,90,1005,5,14,0
2012,9,14,28,26,85,1003,6,11,0
2012,9,15,28,26,81,1001,6,11,0
2012,9,16,29,26,81,1004,5,13,0
2012,9,17,29,26,82,1006,6,11,0
2012,9,18,28,26,83,1007,5,13,0
2012,9,19,28,26,81,1006,5,11,0
2012,9,20,28,26,83,1007,5,11,0.25
2012,9,21,28,26,80,1007,5,10,0
2012,9,22,28,26,82,1007,5,8,0.51
2012,9,23,28,26,84,1005,5,8,0
2012,9,24,28,27,85,1004,5,6,13.97
2012,9,25,29,26,86,1005,5,3,5.08
2012,9,26,29,26,85,1007,5,5,0.76
2012,9,27,29,26,80,1008,5,5,0
2012,9,28,30,27,84,1007,5,5,0
2012,9,29,29,26,82,1008,5,5,0
2012,9,30,28,26,89,1009,5,3,0
2012,10,1,29,26,84,1009,5,3,0
2012,10,2,28,25,90,1009,5,8,0
2012,10,3,26,25,94,1007,4,8,0
2012,10,4,28,25,92,1005,4,10,0
2012,10,5,24,24,96,1006,3,6,0
2012,10,6,28,25,83,1008,6,5,0
2012,10,7,29,26,81,1008,6,3,0
2012,10,8,29,25,83,1008,5,5,0
2012,10,9,28,25,82,1007,5,3,0
2012,10,10,27,25,89,1007,5,5,0
2012,10,11,26,24,93,1006,5,18,0
2012,10,12,27,25,87,1009,5,6,0
2012,10,13,28,25,85,1010,5,6,0
2012,10,14,28,25,83,1010,5,6,0
2012,10,15,28,25,85,1011,4,8,0
2012,10,16,28,26,84,1011,4,5,0
2012,10,17,29,26,83,1010,4,3,0
2012,10,18,29,26,82,1011,4,3,0
2012,10,19,29,26,83,1011,4,2,0
2012,10,20,29,26,82,1011,4,2,0
2012,10,21,28,25,79,1012,4,5,0
2012,10,22,29,24,78,1011,5,6,0
2012,10,23,28,24,82,1010,4,5,0
2012,10,24,27,23,74,1009,4,5,0
2012,10,25,27,21,70,1009,5,6,0
2012,10,26,26,19,68,1010,5,8,0
2012,10,27,24,19,69,1009,5,5,0
2012,10,28,26,22,73,1009,5,8,0
2012,10,29,27,23,76,1009,5,8,0
2012,10,30,28,24,81,1009,4,3,0
2012,10,31,27,25,81,1010,4,3,0
2012,11,1,28,24,79,1010,4,2,0
2012,11,2,28,24,78,1010,4,3,0
2012,11,3,27,23,83,1010,4,6,0
2012,11,4,25,22,84,1010,6,13,0
2012,11,5,26,23,80,1009,5,2,0
2012,11,6,28,24,82,1010,5,6,0
2012,11,7,26,24,89,1009,5,2,0.25
2012,11,8,26,23,83,1009,4,2,0.25
2012,11,9,26,19,66,1010,5,10,0
2012,11,10,23,17,63,1011,4,8,0
2012,11,11,23,19,77,1011,4,3,0
2012,11,12,23,18,71,1011,4,3,0
2012,11,13,24,17,68,1012,4,3,0
2012,11,14,23,18,70,1010,5,6,0
2012,11,15,23,19,75,1011,4,5,0
2012,11,16,26,22,82,1011,5,6,0
2012,11,17,26,23,81,1010,5,6,0
2012,11,18,28,23,79,1010,5,6,0
2012,11,19,27,23,77,1010,5,5,0
2012,11,20,27,24,85,1011,5,5,0
2012,11,21,27,23,80,1011,5,5,0
2012,11,22,25,17,58,1011,5,14,0
2012,11,23,22,15,63,1011,5,10,0
2012,11,24,23,15,61,1010,4,6,0
2012,11,25,21,15,65,1012,4,6,0
2012,11,26,21,15,66,1011,3,6,0
2012,11,27,21,13,61,1011,5,6,0
2012,11,28,21,14,63,1012,5,8,0
2012,11,29,21,16,76,1009,4,3,0
2012,11,30,21,17,75,1009,4,5,0
2012,12,1,22,17,71,1011,4,8,0
2012,12,2,22,16,68,1012,5,8,0
2012,12,3,21,17,76,1012,5,5,0
2012,12,4,21,18,75,1011,5,8,0
2012,12,5,21,17,75,1012,4,3,0
2012,12,6,21,17,75,1012,3,3,0
2012,12,7,21,16,71,1011,3,3,0
2012,12,8,20,16,72,1011,3,2,0
2012,12,9,20,17,78,1010,2,2,0
2012,12,10,20,17,84,1011,2,2,0
2012,12,11,21,17,78,1012,2,3,0
2012,12,12,21,17,81,1012,4,2,0
2012,12,13,21,18,80,1013,4,3,0
2012,12,14,23,18,73,1015,5,10,0
2012,12,15,22,18,71,1014,4,8,0
2012,12,16,21,16,64,1015,5,13,0
2012,12,17,20,17,72,1013,3,8,0
2012,12,18,21,16,71,1013,3,8,0
2012,12,19,19,17,87,1012,4,6,0
2012,12,20,19,15,76,1012,2,5,0
2012,12,21,19,13,67,1013,4,11,0
2012,12,22,18,13,67,1012,4,11,0
2012,12,23,18,14,83,1013,4,13,0
2012,12,24,19,16,81,1012,4,8,0
2012,12,25,16,15,91,1012,1,6,0
2012,12,26,17,13,75,1013,4,10,0
2012,12,27,17,13,78,1011,3,10,0
2012,12,28,16,13,85,1011,3,5,0
2012,12,29,19,12,87,1011,2,5,0
2012,12,30,16,12,73,1011,4,8,0
2012,12,31,18,12,68,1011,4,10,0
2013,1,1,18,13,68,1012,4,6,0
2013,1,2,18,13,73,1012,4,3,0
2013,1,3,19,15,80,1013,4,3,0
2013,1,4,20,15,75,1012,3,5,0
2013,1,5,20,14,70,1011,4,6,0
2013,1,6,20,13,64,1012,4,8,0
2013,1,7,20,13,65,1012,4,8,0
2013,1,8,18,12,67,1014,3,10,0
2013,1,9,13,8,65,1014,3,11,0
2013,1,10,14,10,74,1013,2,6,0
2013,1,11,14,9,71,1014,3,3,0
2013,1,12,14,12,80,1014,2,3,0
2013,1,13,17,11,70,1012,3,3,0
2013,1,14,18,13,75,1012,2,3,0
2013,1,15,19,14,73,1014,3,3,0
2013,1,16,19,13,70,1015,4,5,0
2013,1,17,20,13,61,1015,4,6,0
2013,1,18,22,14,67,1015,4,8,0
2013,1,19,21,16,64,1014,4,3,0
2013,1,20,22,16,63,1014,4,8,0
2013,1,21,21,16,67,1016,4,10,0
2013,1,22,20,13,59,1016,5,13,0
2013,1,23,21,13,62,1015,5,10,0
2013,1,24,19,13,64,1014,4,8,0
2013,1,25,20,12,59,1015,4,13,0
2013,1,26,18,11,61,1015,4,13,0
2013,1,27,17,11,63,1015,4,10,0
2013,1,28,19,12,63,1014,3,6,0
2013,1,29,19,14,75,1013,4,5,0
2013,1,30,19,14,72,1014,3,6,0
2013,1,31,20,14,68,1015,3,6,0
2013,2,1,20,16,75,1015,3,5,0
2013,2,2,22,16,72,1014,4,2,0
2013,2,3,21,16,73,1013,3,3,0
2013,2,4,22,16,70,1015,3,5,0
2013,2,5,21,16,66,1015,4,6,0
2013,2,6,23,15,61,1013,5,6,0
2013,2,7,23,15,56,1011,5,6,0
2013,2,8,23,17,64,1011,5,13,0
2013,2,9,24,15,56,1012,5,16,0
2013,2,10,22,12,49,1011,5,14,0
2013,2,11,23,13,52,1011,5,11,0
2013,2,12,22,15,59,1011,5,8,0
2013,2,13,22,17,73,1011,3,5,0
2013,2,14,24,16,57,1011,4,11,0
2013,2,15,24,9,41,1011,5,13,0
2013,2,16,24,11,42,1009,5,11,0
2013,2,17,24,17,66,1009,4,14,0.25
2013,2,18,21,17,76,1011,5,11,0
2013,2,19,21,15,66,1012,4,14,0
2013,2,20,21,15,61,1011,5,14,0
2013,2,21,23,14,56,1012,5,14,0
2013,2,22,24,16,60,1012,5,6,0
2013,2,23,23,17,63,1012,4,6,0
2013,2,24,24,17,62,1012,4,6,0
2013,2,25,25,17,56,1012,5,8,0
2013,2,26,26,15,48,1012,5,18,0
2013,2,27,26,16,55,1011,6,16,0
2013,2,28,26,16,53,1009,5,8,0
2013,3,1,26,13,47,1010,5,11,0
